ID,Location,Longitude,Latitude,StartingEpochTime,EndingEpochTime
26179001,MERCUROL,4.88333,45.05833,852073200,978300000
26198001,MONTELIMAR,4.73167,44.58,852073200,978300000
26313001,ST-MARCEL-LES-V,4.93,44.97833,852073200,978300000
30209002,PUJAUT,4.75833,43.99833,852073200,978300000
30273001,ST-JULIEN-PEYR,4.57833,44.27667,852073200,978300000
42170001,PERREUX,4.10833,46.02333,852073200,978300000
44020001,NANTES-BOUGUENAIS,-1.60833,47.15,852073200,978300000
44069002,GUERANDE,-2.43,47.29167,852073200,978300000
51183001,REIMS-COURCY,4.03333,49.3,852073200,978300000
51242001,FAGNIERES,4.41667,48.95,852073200,978300000
75114001,PARIS-MONTSOURIS,2.33667,48.82167,852073200,978300000
85119001,LANDES-GENUSSON,-1.125,46.96833,852073200,978300000
85191003,LA-ROCHE-SUR-YON,-1.37833,46.7,852073200,978300000
